Estado,Municipio,Zona/Colonia,Calle/Vía de Acceso,Pilar 1 (Suelo/Extorsión),Pilar 2 (Vial/Carretera),Pilar 3 (Social/Certeza),Semáforo (Status),Dictamen & Justificación Estratégica,Latitud,Longitud,Fuentes / Evidencias Encontradas
Sinaloa,Ahome,Todo el Municipio,Accesos Principales,Bajo (9/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado para desarrollo e inversión. Los Mochis destaca constantemente en la ENSU de INEGI como una de las ciudades con menor percepción de inseguridad del norte; óptimo entorno comercial y vial.,25.9240,-109.2058,[Histórico SESNSP] ENSU INEGI / SESNSP - Polo urbano con alta percepción de seguridad
Sinaloa,Angostura,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (6/10),Medio (7/10),🟡 AMARILLO,"Condicionado. Región pesquera y de campos agrícolas; baja incidencia delictiva urbana, precauciones logísticas habituales.",25.1137,-108.1393,[Histórico SESNSP] SESNSP - Entorno agro-pesquero estable
Sinaloa,Badiraguato,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (5/10),Medio (6/10),🟡 AMARILLO,Condicionado. Cabecera municipal pacífica; zona serrana sujeta a patrullajes de fuerzas armadas y tramos de terracería sinuosa.,25.3625,-107.5500,[Histórico SESNSP] SESNSP - Vigilancia militar en zona de sierra
Sinaloa,Choix,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (5/10),Medio (6/10),🟡 AMARILLO,Condicionado. Límite norte serrano con Chihuahua; caminos de montaña que demandan logística anticipada.,26.7089,-108.3253,[Histórico SESNSP] SESNSP - Frontera serrana con patrullaje
Sinaloa,Concordia,Todo el Municipio,Accesos Principales,Alto (3/10),Alto (3/10),Alto (4/10),🔴 ROJO,No-Go. Desplazamientos preventivos y enfrentamientos armados en comunidades serranas y accesos hacia autopista a Durango.,23.4211,-105.9561,[Histórico SESNSP] SESNSP - Tensión armada en zona serrana
Sinaloa,Cosalá,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (6/10),Medio (7/10),🟡 AMARILLO,Condicionado. Pueblo Mágico con belleza colonial y actividad turística resguardada; tránsito carretero diurno recomendado.,24.5162,-106.7966,[Histórico SESNSP] Sectur / SESNSP - Destino turístico serrano
Sinaloa,Culiacán,Todo el Municipio,Accesos Principales,Alto (3/10),Alto (2/10),Alto (3/10),🔴 ROJO,No-Go. Altísima inestabilidad por enfrentamientos civiles armados recurrentes entre facciones delictivas y despojo violento de vehículos.,24.7979,-107.3934,[Histórico SESNSP] SESNSP - Operativos y enfrentamientos de alto impacto
Sinaloa,El Fuerte,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (8/10),🟢 VERDE,Aprobado para prospección inmobiliaria y turística. Pueblo Mágico emblemático y estación principal del tren Chepe; alta presencia de seguridad turística y gran certeza social.,26.2365,-108.6604,[Histórico SESNSP] Sectur / SESNSP - Corredor turístico protegido
Sinaloa,Eldorado,Todo el Municipio,Accesos Principales,Alto (4/10),Alto (4/10),Alto (4/10),🔴 ROJO,No-Go. Municipio de reciente escisión con operativos federales de alta prioridad y presencia de células armadas.,24.3229,-107.3634,[Histórico SESNSP] SESNSP - Operativos federales permanentes
Sinaloa,Elota,Todo el Municipio,Accesos Principales,Alto (3/10),Alto (2/10),Alto (3/10),🔴 ROJO,No-Go. Corredor de alta tensión armada en la Maxipista Culiacán-Mazatlán con bloqueos carreteros e incidentes violentos.,24.0308,-106.8612,[Histórico SESNSP] SESNSP - Foco rojo en tramos carreteros
